"brand","Series","PartNo","DetailLink","dataSheet","Package version","fi(RF) [min]","fi(RF) [max]","VCC [typ]","ICC [typ]","synthesizer phase noise density [typ]","@foffset","VCO phase noise density [typ]","@f_offset","f_o(RF) [min]","f_o(RF) [max]","Po(RF) [typ]","RLout [max]","P_i(ref) [min]"
"nxp","RF---PLLs and Oscillators---Microwave LO Generators","TFF11070HN","http://www.nxp.com/products/rf/plls_and_oscillators/microwave_lo_generators/TFF11070HN.html","No full datasheet available","SOT616-1","27","450","3.3","100","-97","100","-130","10","6.8","7.2","-50","-10","-100"
"nxp","RF---PLLs and Oscillators---Microwave LO Generators","TFF11073HN","http://www.nxp.com/products/rf/plls_and_oscillators/microwave_lo_generators/TFF11073HN.html","No full datasheet available","SOT616-1","28","469","3.3","100","-97","100","-130","10","7.2","7.5","-50","-10","-100"
"nxp","RF---PLLs and Oscillators---Microwave LO Generators","TFF11077HN","http://www.nxp.com/products/rf/plls_and_oscillators/microwave_lo_generators/TFF11077HN.html","No full datasheet available","SOT616-1","29","488","3.3","100","-97","100","-130","10","7.5","7.8","-50","-10","-100"
"nxp","RF---PLLs and Oscillators---Microwave LO Generators","TFF11080HN","http://www.nxp.com/products/rf/plls_and_oscillators/microwave_lo_generators/TFF11080HN.html","No full datasheet available","SOT616-1","30","513","3.3","100","-97","100","-130","10","7.8","8.2","-50","-10","-100"
"nxp","RF---PLLs and Oscillators---Microwave LO Generators","TFF11084HN","http://www.nxp.com/products/rf/plls_and_oscillators/microwave_lo_generators/TFF11084HN.html","http://www.nxp.com/documents/data_sheet/TFF11084HN.pdf","SOT616-1","32","538","3.3","100","-97","100","-130","10","8.2","8.6","-40","-10","-100"
"nxp","RF---PLLs and Oscillators---Microwave LO Generators","TFF11086HN","http://www.nxp.com/products/rf/plls_and_oscillators/microwave_lo_generators/TFF11086HN.html","http://www.nxp.com/documents/data_sheet/TFF11086HN.pdf","SOT616-1","33","544","3.3","100","-97","100","-130","10","8.54","8.71","-30","","-100"
"nxp","RF---PLLs and Oscillators---Microwave LO Generators","TFF11088HN","http://www.nxp.com/products/rf/plls_and_oscillators/microwave_lo_generators/TFF11088HN.html","No full datasheet available","SOT616-1","34","563","3.3","100","-97","100","-130","10","8.6","9","-50","-10","-100"
"nxp","RF---PLLs and Oscillators---Microwave LO Generators","TFF11092HN","http://www.nxp.com/products/rf/plls_and_oscillators/microwave_lo_generators/TFF11092HN.html","http://www.nxp.com/documents/data_sheet/TFF11092HN.pdf","SOT616-1","35","576","3.3","100","-97","100","-130","10","9.03","9.22","","","-100"
"nxp","RF---PLLs and Oscillators---Microwave LO Generators","TFF11094HN","http://www.nxp.com/products/rf/plls_and_oscillators/microwave_lo_generators/TFF11094HN.html","http://www.nxp.com/documents/data_sheet/TFF11094HN.pdf","SOT616-1","36","600","3.3","100","-97","100","-130","10","9.2","9.6","-40","-10","-100"
"nxp","RF---PLLs and Oscillators---Microwave LO Generators","TFF11096HN","http://www.nxp.com/products/rf/plls_and_oscillators/microwave_lo_generators/TFF11096HN.html","http://www.nxp.com/documents/data_sheet/TFF11096HN.pdf","SOT616-1","37","608","3.3","100","-97","100","-130","10","9.53","9.72","","","-100"
"nxp","RF---PLLs and Oscillators---Microwave LO Generators","TFF11101HN","http://www.nxp.com/products/rf/plls_and_oscillators/microwave_lo_generators/TFF11101HN.html","http://www.nxp.com/documents/data_sheet/TFF11101HN.pdf","SOT616-1","39","633","3.3","100","-97","100","-130","10","9.92","10.13","-30","","-100"
"nxp","RF---PLLs and Oscillators---Microwave LO Generators","TFF11105HN","http://www.nxp.com/products/rf/plls_and_oscillators/microwave_lo_generators/TFF11105HN.html","http://www.nxp.com/documents/data_sheet/TFF11105HN.pdf","SOT616-1","40","675","3.3","100","-97","100","-130","10","10.3","10.8","-40","-10","-100"
"nxp","RF---PLLs and Oscillators---Microwave LO Generators","TFF11110HN","http://www.nxp.com/products/rf/plls_and_oscillators/microwave_lo_generators/TFF11110HN.html","No full datasheet available","SOT616-1","42","706","3.3","100","-97","100","-130","10","10.8","11.3","-50","-10","-100"
"nxp","RF---PLLs and Oscillators---Microwave LO Generators","TFF11115HN","http://www.nxp.com/products/rf/plls_and_oscillators/microwave_lo_generators/TFF11115HN.html","http://www.nxp.com/documents/data_sheet/TFF11115HN.pdf","SOT616-1","44","738","3.3","100","-97","100","-130","10","11.3","11.8","-40","-10","-100"
"nxp","RF---PLLs and Oscillators---Microwave LO Generators","TFF11121HN","http://www.nxp.com/products/rf/plls_and_oscillators/microwave_lo_generators/TFF11121HN.html","No full datasheet available","SOT616-1","46","775","3.3","100","-97","100","-130","10","11.8","12.4","-50","-10","-100"
"nxp","RF---PLLs and Oscillators---Microwave LO Generators","TFF11126HN","http://www.nxp.com/products/rf/plls_and_oscillators/microwave_lo_generators/TFF11126HN.html","No full datasheet available","SOT616-1","48","806","3.3","100","-97","100","-130","10","12.4","12.9","-50","-10","-100"
"nxp","RF---PLLs and Oscillators---Microwave LO Generators","TFF11139HN","http://www.nxp.com/products/rf/plls_and_oscillators/microwave_lo_generators/TFF11139HN.html","http://www.nxp.com/documents/data_sheet/TFF11139HN.pdf","SOT616-1","54","881","3.3","100","-97","100","-130","10","13.8","14.1","-40","","-100"
"nxp","RF---PLLs and Oscillators---Microwave LO Generators","TFF11142HN","http://www.nxp.com/products/rf/plls_and_oscillators/microwave_lo_generators/TFF11142HN.html","http://www.nxp.com/documents/data_sheet/TFF11142HN.pdf","SOT616-1","55","901","3.3","100","-97","100","-130","10","14.13","14.42","","","-100"
"nxp","RF---PLLs and Oscillators---Microwave LO Generators","TFF11145HN","http://www.nxp.com/products/rf/plls_and_oscillators/microwave_lo_generators/TFF11145HN.html","http://www.nxp.com/documents/data_sheet/TFF11145HN.pdf","SOT616-1","57","925","3.3","100","-97","100","-130","10","14.5","14.8","","-10","-100"
"nxp","RF---PLLs and Oscillators---Microwave LO Generators","TFF11152HN","http://www.nxp.com/products/rf/plls_and_oscillators/microwave_lo_generators/TFF11152HN.html","http://www.nxp.com/documents/data_sheet/TFF11152HN.pdf","SOT616-1","58","969","3.3","100","-97","100","-130","10","14.8","15.5","-70","-10","-100"
