"brand","Series","Series-2","PartNo","DetailLink","dataSheet","Descrption","Compliance","Status","Description","Polarity","IC Continuous (A)","V(BR)CEO Min (V)","VCE(sat) Max (V)","hFE Min (k)","hFE Max (k)","fT Min (MHz)","Package Type"
"on","双极晶体管---达林顿晶体管","MJD122","MJD122G","http://www.onsemi.cn/PowerSolutions/product.do?id=MJD122G","http://www.onsemi.com/pub/Collateral/MJD122-D.PDF","8.0 A, 100 V NPN Darlington Bipolar Power Transistor","AEC Qualified
Pb-free
Halide free
PPAP Capable","Active","8.0 A, 100 V NPN Darlington Bipolar Power Transistor","NPN","8","100","2","1","12","4","DPAK-3"
"on","双极晶体管---达林顿晶体管","MJD122","MJD122T4G","http://www.onsemi.cn/PowerSolutions/product.do?id=MJD122T4G","http://www.onsemi.com/pub/Collateral/MJD122-D.PDF","8.0 A, 100 V NPN Darlington Bipolar Power Transistor","AEC Qualified
Pb-free
Halide free
PPAP Capable","Active","8.0 A, 100 V NPN Darlington Bipolar Power Transistor","NPN","8","100","2","1","12","4","DPAK-3"
"on","双极晶体管---达林顿晶体管","MJD122","NJVMJD122T4G","http://www.onsemi.cn/PowerSolutions/product.do?id=NJVMJD122T4G","http://www.onsemi.com/pub/Collateral/MJD122-D.PDF","8.0 A, 100 V NPN Darlington Bipolar Power Transistor","AEC Qualified
Pb-free
Halide free
PPAP Capable","Active","8.0 A, 100 V NPN Darlington Bipolar Power Transistor","NPN","8","100","2","1","12","4","DPAK-3"
"on","双极晶体管---达林顿晶体管","MJD128","MJD128T4G","http://www.onsemi.cn/PowerSolutions/product.do?id=MJD128T4G","http://www.onsemi.com/pub/Collateral/MJD128-D.PDF","8.0 A, 120 V PNP Darlington Bipolar Power Transistor","Pb-free
Halide free
AEC Qualified
PPAP Capable","Active","8.0 A, 120 V PNP Darlington Bipolar Power Transistor","PNP","8","120","2","1","12","4","DPAK-3"
"on","双极晶体管---达林顿晶体管","MJD128","NJVMJD128T4G","http://www.onsemi.cn/PowerSolutions/product.do?id=NJVMJD128T4G","http://www.onsemi.com/pub/Collateral/MJD128-D.PDF","8.0 A, 120 V PNP Darlington Bipolar Power Transistor","Pb-free
Halide free
AEC Qualified
PPAP Capable","Active","8.0 A, 120 V PNP Darlington Bipolar Power Transistor","PNP","8","120","2","1","12","4","DPAK-3"
"on","双极晶体管---达林顿晶体管","MJD6039","MJD6039T4G","http://www.onsemi.cn/PowerSolutions/product.do?id=MJD6039T4G","http://www.onsemi.com/pub/Collateral/MJD6039-D.PDF","NPN Darlington Bipolar Power Transistor","Pb-free
Halide free
AEC Qualified
PPAP Capable","Active","NPN Darlington Bipolar Power Transistor","NPN","4","80","2.5","1","-","-","DPAK-3"
"on","双极晶体管---达林顿晶体管","MJD6039","NJVMJD6039T4G","http://www.onsemi.cn/PowerSolutions/product.do?id=NJVMJD6039T4G","http://www.onsemi.com/pub/Collateral/MJD6039-D.PDF","NPN Darlington Bipolar Power Transistor","Pb-free
Halide free
AEC Qualified
PPAP Capable","Active","NPN Darlington Bipolar Power Transistor","NPN","4","80","2.5","1","-","-","DPAK-3"
"on","双极晶体管---达林顿晶体管","MJE5742","MJE5742G","http://www.onsemi.cn/PowerSolutions/product.do?id=MJE5742G","http://www.onsemi.com/pub/Collateral/MJE5740-D.PDF","8.0 A, 400 V NPN Darlington Bipolar Power Transistor","Pb-free","Active","8.0 A, 400 V NPN Darlington Bipolar Power Transistor","NPN","8","400","2","0.2","-","-","TO-220-3"
"on","双极晶体管---达林顿晶体管","MJE702","MJE702G","http://www.onsemi.cn/PowerSolutions/product.do?id=MJE702G","http://www.onsemi.com/pub/Collateral/MJE700-D.PDF","4.0 A, 80 V PNP Darlington Bipolar Power Transistor","Pb-free
Halide free","Active","4.0 A, 80 V PNP Darlington Bipolar Power Transistor","PNP","4","80","2.5
2.8","0.75","-","-","TO-225-3"
"on","双极晶体管---达林顿晶体管","MJE702","MJE703G","http://www.onsemi.cn/PowerSolutions/product.do?id=MJE703G","http://www.onsemi.com/pub/Collateral/MJE700-D.PDF","4.0 A, 80 V PNP Darlington Bipolar Power Transistor","Pb-free
Halide free","Active","4.0 A, 80 V PNP Darlington Bipolar Power Transistor","PNP","4","80","2.5
2.8","0.75","-","-","TO-225-3"
"on","双极晶体管---达林顿晶体管","MJE802","MJE802G","http://www.onsemi.cn/PowerSolutions/product.do?id=MJE802G","http://www.onsemi.com/pub/Collateral/MJE700-D.PDF","4.0 A, 80 V NPN Darlington Bipolar Power Transistor","Pb-free
Halide free","Active","4.0 A, 80 V NPN Darlington Bipolar Power Transistor","NPN","4","80","2.5
2.8","0.75","-","-","TO-225-3"
"on","双极晶体管---达林顿晶体管","MJE802","MJE803G","http://www.onsemi.cn/PowerSolutions/product.do?id=MJE803G","http://www.onsemi.com/pub/Collateral/MJE700-D.PDF","4.0 A, 80 V NPN Darlington Bipolar Power Transistor","Pb-free
Halide free","Active","4.0 A, 80 V NPN Darlington Bipolar Power Transistor","NPN","4","80","2.5
2.8","0.75","-","-","TO-225-3"
"on","双极晶体管---达林顿晶体管","MJF127","MJF127G","http://www.onsemi.cn/PowerSolutions/product.do?id=MJF127G","http://www.onsemi.com/pub/Collateral/MJF122-D.PDF","5.0 A, 100 V PNP Darlington Bipolar Power Transistor","Pb-free","Active","5.0 A, 100 V PNP Darlington Bipolar Power Transistor","PNP","5","100","2","2","-","-","TO-220 FULLPAK-3"
"on","双极晶体管---达林顿晶体管","MJH11017","MJH11017G","http://www.onsemi.cn/PowerSolutions/product.do?id=MJH11017G","http://www.onsemi.com/pub/Collateral/MJH11017-D.PDF","15 A, 150 V PNP Darlington Bipolar Power Transistor","Pb-free","Active","15 A, 150 V PNP Darlington Bipolar Power Transistor","PNP","15","150","2.5","0.4","15","3","TO-247-3"
"on","双极晶体管---达林顿晶体管","MJH11020","MJH11020G","http://www.onsemi.cn/PowerSolutions/product.do?id=MJH11020G","http://www.onsemi.com/pub/Collateral/MJH11017-D.PDF","20 A, 200 V NPN Darlington Bipolar Power Transistor","Pb-free","Active","20 A, 200 V NPN Darlington Bipolar Power Transistor","NPN","15","200","2.5","0.4","15","3","TO-247-3"
"on","双极晶体管---达林顿晶体管","MJH11022","MJH11022G","http://www.onsemi.cn/PowerSolutions/product.do?id=MJH11022G","http://www.onsemi.com/pub/Collateral/MJH11017-D.PDF","15 A, 250 V NPN Darlington Bipolar Power Transistor","Pb-free","Active","15 A, 250 V NPN Darlington Bipolar Power Transistor","NPN","15","250","2.5","0.4","15","3","TO-247-3"
"on","双极晶体管---达林顿晶体管","MJH6287","MJH6287G","http://www.onsemi.cn/PowerSolutions/product.do?id=MJH6287G","http://www.onsemi.com/pub/Collateral/MJH6284-D.PDF","20 A, 100 V PNP Darlington Bipolar Power Transistor","Pb-free","Active","20 A, 100 V PNP Darlington Bipolar Power Transistor","PNP","20","100","2","0.75","18","4","TO-247-3"
"on","双极晶体管---达林顿晶体管","MMBTA13L","MMBTA13LT1G","http://www.onsemi.cn/PowerSolutions/product.do?id=MMBTA13LT1G","http://www.onsemi.com/pub/Collateral/MMBTA13LT1-D.PDF","NPN Bipolar Darlington Transistor","AEC Qualified
Pb-free
Halide free
PPAP Capable","Active","NPN Bipolar Darlington Transistor","NPN","0.3","30","1.5","10","-","125","SOT-23-3"
"on","双极晶体管---达林顿晶体管","MMBTA13L","MMBTA13LT3G","http://www.onsemi.cn/PowerSolutions/product.do?id=MMBTA13LT3G","http://www.onsemi.com/pub/Collateral/MMBTA13LT1-D.PDF","NPN Bipolar Darlington Transistor","AEC Qualified
Pb-free
Halide free
PPAP Capable","Active","NPN Bipolar Darlington Transistor","NPN","0.3","30","1.5","10","-","125","SOT-23-3"
"on","双极晶体管---达林顿晶体管","MMBTA13L","SMMBTA13LT1G","http://www.onsemi.cn/PowerSolutions/product.do?id=SMMBTA13LT1G","http://www.onsemi.com/pub/Collateral/MMBTA13LT1-D.PDF","NPN Bipolar Darlington Transistor","AEC Qualified
Pb-free
Halide free
PPAP Capable","Active","NPN Bipolar Darlington Transistor","NPN","0.3","30","1.5","10","-","125","SOT-23-3"
"on","双极晶体管---达林顿晶体管","MMBTA63L","MMBTA63LT1G","http://www.onsemi.cn/PowerSolutions/product.do?id=MMBTA63LT1G","http://www.onsemi.com/pub/Collateral/MMBTA63LT1-D.PDF","PNP Bipolar Darlington Transistor","AEC Qualified
Pb-free
Halide free","Active","PNP Bipolar Darlington Transistor","PNP","0.5","30","1.5","10","-","125","SOT-23-3"
"on","双极晶体管---达林顿晶体管","NJD35N04","NJD35N04G","http://www.onsemi.cn/PowerSolutions/product.do?id=NJD35N04G","http://www.onsemi.com/pub/Collateral/NJD35N04-D.PDF","4.0 A, 350 V NPN Darlington Bipolar Power Transistor","AEC Qualified
Pb-free
Halide free
PPAP Capable","Active","4.0 A, 350 V NPN Darlington Bipolar Power Transistor","NPN","4","350","1.5","2","-","90","DPAK-3"
"on","双极晶体管---达林顿晶体管","NJD35N04","NJD35N04T4G","http://www.onsemi.cn/PowerSolutions/product.do?id=NJD35N04T4G","http://www.onsemi.com/pub/Collateral/NJD35N04-D.PDF","4.0 A, 350 V NPN Darlington Bipolar Power Transistor","AEC Qualified
Pb-free
Halide free
PPAP Capable","Active","4.0 A, 350 V NPN Darlington Bipolar Power Transistor","NPN","4","350","1.5","2","-","90","DPAK-3"
"on","双极晶体管---达林顿晶体管","NJD35N04","NJVNJD35N04G","http://www.onsemi.cn/PowerSolutions/product.do?id=NJVNJD35N04G","http://www.onsemi.com/pub/Collateral/NJD35N04-D.PDF","4.0 A, 350 V NPN Darlington Bipolar Power Transistor","AEC Qualified
Pb-free
Halide free
PPAP Capable","Active","4.0 A, 350 V NPN Darlington Bipolar Power Transistor","NPN","4","350","1.5","2","-","90","DPAK-3"
"on","双极晶体管---达林顿晶体管","NJD35N04","NJVNJD35N04T4G","http://www.onsemi.cn/PowerSolutions/product.do?id=NJVNJD35N04T4G","http://www.onsemi.com/pub/Collateral/NJD35N04-D.PDF","4.0 A, 350 V NPN Darlington Bipolar Power Transistor","AEC Qualified
Pb-free
Halide free
PPAP Capable","Active","4.0 A, 350 V NPN Darlington Bipolar Power Transistor","NPN","4","350","1.5","2","-","90","DPAK-3"
"on","双极晶体管---达林顿晶体管","TIP101","TIP101G","http://www.onsemi.cn/PowerSolutions/product.do?id=TIP101G","http://www.onsemi.com/pub/Collateral/TIP100-D.PDF","8.0 A, 100 V NPN Darlington Bipolar Power Transistor","Pb-free","Active","8.0 A, 100 V NPN Darlington Bipolar Power Transistor","NPN","8","80","2","1","20","4","TO-220-3"
"on","双极晶体管---达林顿晶体管","TIP106","TIP106G","http://www.onsemi.cn/PowerSolutions/product.do?id=TIP106G","http://www.onsemi.com/pub/Collateral/TIP100-D.PDF","8.0 A, 100 V NPN Darlington Bipolar Power Transistor","Pb-free","Active","8.0 A, 100 V NPN Darlington Bipolar Power Transistor","PNP","8","80","2","1","20","4","TO-220-3"
"on","双极晶体管---达林顿晶体管","TIP110","TIP110G","http://www.onsemi.cn/PowerSolutions/product.do?id=TIP110G","http://www.onsemi.com/pub/Collateral/TIP110-D.PDF","Medium Power NPN Darlington Bipolar Power Transistor, NPN , 2.0 A, 60 V","Pb-free","Active","Medium Power NPN Darlington Bipolar Power Transistor","NPN
PNP","2","60
80
100","2.5","0.5","-","25","TO-220-3"
"on","双极晶体管---达林顿晶体管","TIP110","TIP111G","http://www.onsemi.cn/PowerSolutions/product.do?id=TIP111G","http://www.onsemi.com/pub/Collateral/TIP110-D.PDF","Medium Power NPN Darlington Bipolar Power Transistor, NPN , 2.0 A, 80 V","Pb-free","Active","Medium Power NPN Darlington Bipolar Power Transistor","NPN
PNP","2","60
80
100","2.5","0.5","-","25","TO-220-3"
"on","双极晶体管---达林顿晶体管","TIP110","TIP112G","http://www.onsemi.cn/PowerSolutions/product.do?id=TIP112G","http://www.onsemi.com/pub/Collateral/TIP110-D.PDF","Medium Power NPN Darlington Bipolar Power Transistor, NPN , 2.0 A, 100 V","Pb-free","Active","Medium Power NPN Darlington Bipolar Power Transistor","NPN
PNP","2","60
80
100","2.5","0.5","-","25","TO-220-3"
"on","双极晶体管---达林顿晶体管","TIP110","TIP115G","http://www.onsemi.cn/PowerSolutions/product.do?id=TIP115G","http://www.onsemi.com/pub/Collateral/TIP110-D.PDF","Medium Power NPN Darlington Bipolar Power Transistor, PNP , 2.0 A, 60 V","Pb-free","Active","Medium Power NPN Darlington Bipolar Power Transistor","NPN
PNP","2","60
80
100","2.5","0.5","-","25","TO-220-3"
"on","双极晶体管---达林顿晶体管","TIP110","TIP116G","http://www.onsemi.cn/PowerSolutions/product.do?id=TIP116G","http://www.onsemi.com/pub/Collateral/TIP110-D.PDF","Medium Power NPN Darlington Bipolar Power Transistor, PNP , 2.0 A, 80 V","Pb-free","Active","Medium Power NPN Darlington Bipolar Power Transistor","NPN
PNP","2","60
80
100","2.5","0.5","-","25","TO-220-3"
"on","双极晶体管---达林顿晶体管","TIP110","TIP117G","http://www.onsemi.cn/PowerSolutions/product.do?id=TIP117G","http://www.onsemi.com/pub/Collateral/TIP110-D.PDF","Medium Power NPN Darlington Bipolar Power Transistor, PNP , 2.0 A, 100 V","Pb-free","Active","Medium Power NPN Darlington Bipolar Power Transistor","NPN
PNP","2","60
80
100","2.5","0.5","-","25","TO-220-3"
"on","双极晶体管---达林顿晶体管","TIP121","TIP121G","http://www.onsemi.cn/PowerSolutions/product.do?id=TIP121G","http://www.onsemi.com/pub/Collateral/TIP120-D.PDF","Medium Power NPN Darlington Bipolar Power Transistor","Pb-free","Active","Medium Power NPN Darlington Bipolar Power Transistor","NPN","5","80","2","1","-","4","TO-220-3"
"on","双极晶体管---达林顿晶体管","TIP125","TIP125G","http://www.onsemi.cn/PowerSolutions/product.do?id=TIP125G","http://www.onsemi.com/pub/Collateral/TIP120-D.PDF","Medium Power PNP Darlington Bipolar Power Transistor","Pb-free","Active","Medium Power PNP Darlington Bipolar Power Transistor","PNP","5","60","2","1","-","4","TO-220-3"
"on","双极晶体管---达林顿晶体管","TIP127","TIP127G","http://www.onsemi.cn/PowerSolutions/product.do?id=TIP127G","http://www.onsemi.com/pub/Collateral/TIP120-D.PDF","5.0 A, 100 V PNP Darlington Bipolar Power Transistor","Pb-free","Active","5.0 A, 100 V PNP Darlington Bipolar Power Transistor","PNP","5","100","2","1","-","4","TO-220-3"
"on","双极晶体管---达林顿晶体管","TIP141","TIP141G","http://www.onsemi.cn/PowerSolutions/product.do?id=TIP141G","http://www.onsemi.com/pub/Collateral/TIP140-D.PDF","10 A, 80 V NPN Darlington Bipolar Power Transistor","Pb-free","Active","10 A, 80 V NPN Darlington Bipolar Power Transistor","NPN","10","80","2","0.5","-","4","TO-247-3"
"on","双极晶体管---达林顿晶体管","TIP147","TIP147G","http://www.onsemi.cn/PowerSolutions/product.do?id=TIP147G","http://www.onsemi.com/pub/Collateral/TIP140-D.PDF","10 A, 100 V PNP Darlington Bipolar Power Transistor","Pb-free","Active","10 A, 100 V PNP Darlington Bipolar Power Transistor","PNP","10","100","2","0.5","-","4","TO-247-3"
